writing time step 0  t = 0.0
writing time step 56  t = 0.010000000000000014
writing time step 112  t = 0.019999999999999993
writing time step 168  t = 0.02999999999999992
writing time step 224  t = 0.040000000000000015
writing time step 280  t = 0.050000000000000135
writing time step 336  t = 0.060000000000000255
writing time step 392  t = 0.07000000000000037
writing time step 448  t = 0.08000000000000049
writing time step 504  t = 0.09000000000000061
writing time step 560  t = 0.10000000000000073
writing time step 616  t = 0.11000000000000085
writing time step 672  t = 0.12000000000000097
writing time step 728  t = 0.1300000000000007
writing time step 784  t = 0.14000000000000004
writing time step 840  t = 0.14999999999999938
writing time step 896  t = 0.15999999999999873
writing time step 952  t = 0.16999999999999807
writing time step 1008  t = 0.1799999999999974
writing time step 1064  t = 0.18999999999999675
writing time step 1120  t = 0.1999999999999961
writing time step 1176  t = 0.20999999999999544
writing time step 1232  t = 0.21999999999999478
writing time step 1288  t = 0.22999999999999413
writing time step 1344  t = 0.23999999999999347
writing time step 1400  t = 0.2499999999999928
writing time step 1456  t = 0.2599999999999922
writing time step 1512  t = 0.2699999999999915
writing time step 1568  t = 0.27999999999999087
writing time step 1624  t = 0.2899999999999902
writing time step 1680  t = 0.29999999999998955
writing time step 1736  t = 0.3099999999999889
writing time step 1792  t = 0.31999999999998824
writing time step 1848  t = 0.3299999999999876
writing time step 1904  t = 0.3399999999999869
writing time step 1960  t = 0.34999999999998627
writing time step 2016  t = 0.3599999999999856
writing time step 2072  t = 0.36999999999998495
writing time step 2128  t = 0.3799999999999843
writing time step 2184  t = 0.38999999999998364
writing time step 2240  t = 0.399999999999983
writing time step 2296  t = 0.4099999999999823
writing time step 2352  t = 0.41999999999998167
writing time step 2408  t = 0.429999999999981
writing time step 2464  t = 0.43999999999998035
writing time step 2520  t = 0.4499999999999797
writing time step 2576  t = 0.45999999999997904
writing time step 2632  t = 0.4699999999999784
writing time step 2688  t = 0.4799999999999777
writing time step 2744  t = 0.48999999999997707
writing time step 2800  t = 0.4999999999999764
writing time step 2856  t = 0.5099999999999788
writing time step 2912  t = 0.5199999999999813
writing time step 2968  t = 0.5299999999999837
writing time step 3024  t = 0.5399999999999862
writing time step 3080  t = 0.5499999999999886
writing time step 3136  t = 0.5599999999999911
writing time step 3192  t = 0.5699999999999935
writing time step 3248  t = 0.579999999999996
writing time step 3304  t = 0.5899999999999984
writing time step 3360  t = 0.6000000000000009
writing time step 3416  t = 0.6100000000000033
writing time step 3472  t = 0.6200000000000058
writing time step 3528  t = 0.6300000000000082
writing time step 3584  t = 0.6400000000000107
writing time step 3640  t = 0.6500000000000131
writing time step 3696  t = 0.6600000000000156
writing time step 3752  t = 0.670000000000018
writing time step 3808  t = 0.6800000000000205
writing time step 3864  t = 0.6900000000000229
writing time step 3920  t = 0.7000000000000254
writing time step 3976  t = 0.7100000000000278
writing time step 4032  t = 0.7200000000000303
writing time step 4088  t = 0.7300000000000327
writing time step 4144  t = 0.7400000000000352
writing time step 4200  t = 0.7500000000000376
writing time step 4256  t = 0.7600000000000401
writing time step 4312  t = 0.7700000000000425
writing time step 4368  t = 0.780000000000045
writing time step 4424  t = 0.7900000000000474
writing time step 4480  t = 0.8000000000000499
writing time step 4536  t = 0.8100000000000523
writing time step 4592  t = 0.8200000000000548
writing time step 4648  t = 0.8300000000000572
writing time step 4704  t = 0.8400000000000597
writing time step 4760  t = 0.8500000000000622
writing time step 4816  t = 0.8600000000000646
writing time step 4872  t = 0.870000000000067
writing time step 4928  t = 0.8800000000000695
writing time step 4984  t = 0.890000000000072
writing time step 5040  t = 0.9000000000000744
writing time step 5096  t = 0.9100000000000769
writing time step 5152  t = 0.9200000000000793
writing time step 5208  t = 0.9300000000000818
writing time step 5264  t = 0.9400000000000842
writing time step 5320  t = 0.9500000000000867
writing time step 5376  t = 0.9600000000000891
writing time step 5432  t = 0.9700000000000916
writing time step 5488  t = 0.980000000000094
writing time step 5544  t = 0.9900000000000965
writing time step 5600  t = 1.0
