writing time step 0  t = 0.0
writing time step 69  t = 0.010000000000000009
writing time step 138  t = 0.020000000000000063
writing time step 207  t = 0.030000000000000117
writing time step 276  t = 0.03999999999999996
writing time step 345  t = 0.049999999999999774
writing time step 414  t = 0.05999999999999959
writing time step 483  t = 0.06999999999999941
writing time step 552  t = 0.07999999999999922
writing time step 621  t = 0.08999999999999904
writing time step 690  t = 0.09999999999999885
writing time step 759  t = 0.10999999999999867
writing time step 828  t = 0.11999999999999848
writing time step 897  t = 0.1299999999999983
writing time step 966  t = 0.13999999999999813
writing time step 1035  t = 0.14999999999999794
writing time step 1104  t = 0.15999999999999776
writing time step 1173  t = 0.16999999999999757
writing time step 1242  t = 0.17999999999999738
writing time step 1311  t = 0.1899999999999972
writing time step 1380  t = 0.199999999999997
writing time step 1449  t = 0.20999999999999683
writing time step 1518  t = 0.21999999999999664
writing time step 1587  t = 0.22999999999999646
writing time step 1656  t = 0.23999999999999627
writing time step 1725  t = 0.2499999999999961
writing time step 1794  t = 0.2599999999999978
writing time step 1863  t = 0.2699999999999995
writing time step 1932  t = 0.28000000000000125
writing time step 2001  t = 0.290000000000003
writing time step 2070  t = 0.3000000000000047
writing time step 2139  t = 0.31000000000000644
writing time step 2208  t = 0.32000000000000817
writing time step 2277  t = 0.3300000000000099
writing time step 2346  t = 0.3400000000000116
writing time step 2415  t = 0.35000000000001336
writing time step 2484  t = 0.3600000000000151
writing time step 2553  t = 0.3700000000000168
writing time step 2622  t = 0.38000000000001855
writing time step 2691  t = 0.3900000000000203
writing time step 2760  t = 0.400000000000022
writing time step 2829  t = 0.41000000000002373
writing time step 2898  t = 0.42000000000002546
writing time step 2967  t = 0.4300000000000272
writing time step 3036  t = 0.4400000000000289
writing time step 3105  t = 0.45000000000003065
writing time step 3174  t = 0.4600000000000324
writing time step 3243  t = 0.4700000000000341
writing time step 3312  t = 0.48000000000003584
writing time step 3381  t = 0.49000000000003757
writing time step 3450  t = 0.5000000000000393
writing time step 3519  t = 0.5100000000000372
writing time step 3588  t = 0.5200000000000351
writing time step 3657  t = 0.530000000000033
writing time step 3726  t = 0.5400000000000309
writing time step 3795  t = 0.5500000000000288
writing time step 3864  t = 0.5600000000000267
writing time step 3933  t = 0.5700000000000246
writing time step 4002  t = 0.5800000000000225
writing time step 4071  t = 0.5900000000000204
writing time step 4140  t = 0.6000000000000183
writing time step 4209  t = 0.6100000000000162
writing time step 4278  t = 0.6200000000000141
writing time step 4347  t = 0.630000000000012
writing time step 4416  t = 0.6400000000000099
writing time step 4485  t = 0.6500000000000078
writing time step 4554  t = 0.6600000000000057
writing time step 4623  t = 0.6700000000000036
writing time step 4692  t = 0.6800000000000015
writing time step 4761  t = 0.6899999999999994
writing time step 4830  t = 0.6999999999999973
writing time step 4899  t = 0.7099999999999952
writing time step 4968  t = 0.7199999999999931
writing time step 5037  t = 0.729999999999991
writing time step 5106  t = 0.7399999999999889
writing time step 5175  t = 0.7499999999999868
writing time step 5244  t = 0.7599999999999847
writing time step 5313  t = 0.7699999999999826
writing time step 5382  t = 0.7799999999999805
writing time step 5451  t = 0.7899999999999784
writing time step 5520  t = 0.7999999999999763
writing time step 5589  t = 0.8099999999999742
writing time step 5658  t = 0.8199999999999721
writing time step 5727  t = 0.82999999999997
writing time step 5796  t = 0.8399999999999679
writing time step 5865  t = 0.8499999999999658
writing time step 5934  t = 0.8599999999999637
writing time step 6003  t = 0.8699999999999616
writing time step 6072  t = 0.8799999999999595
writing time step 6141  t = 0.8899999999999574
writing time step 6210  t = 0.8999999999999553
writing time step 6279  t = 0.9099999999999532
writing time step 6348  t = 0.9199999999999511
writing time step 6417  t = 0.929999999999949
writing time step 6486  t = 0.9399999999999469
writing time step 6555  t = 0.9499999999999448
writing time step 6624  t = 0.9599999999999427
writing time step 6693  t = 0.9699999999999406
writing time step 6762  t = 0.9799999999999385
writing time step 6831  t = 0.9899999999999364
writing time step 6900  t = 0.9999999999999343
writing time step 6901  t = 1.0
